,Unnamed: 0_google,Name,Main Tag,Tags_google,Rating_google,Num Reviews_google,Address_google,Zip Code,Neighborhood_google,Street Name,Unnamed: 0_tripadvisor,index,Rating_tripadvisor,Num Reviews_tripadvisor,Address_tripadvisor,Marquee,Distribution_x,Cost_x,Tags_tripadvisor,Neighborhood_tripadvisor,Unnamed: 0,Address,Rating,Num Reviews,Cost_y,Tags,Distribution_y,Neighborhood
0,0.0,Mecca Cafe,Diner,"Diner, Bar, Breakfast restaurant, Brunch restaurant, Lunch restaurant",4.2,1629.0,"Mecca Cafe, 526 Queen Anne Ave N, Seattle, WA 98109",98109.0,Queen Anne/South Lake Union,"Queen Anne Ave N,",132.0,132.0,4.0,367.0,"526 Queen Anne Ave N, Seattle, WA 98109","#86 of 2,182 Restaurants in Seattle","[141, 150, 37, 14, 10]",$,AmericanBarDiner,Queen Anne/South Lake Union,129.0,"526 Queen Anne Ave N, Seattle, WA 98109",3.7,850.0,$$,"['American', 'Bars']","['118', '68', '105', '247', '312']",Queen Anne/South Lake Union
1,1.0,Lost Lake Cafe & Lounge,Diner,"Diner, Bar, Breakfast restaurant, Brunch restaurant, Lunch restaurant, New American restaurant, Restaurant",4.2,3837.0,"Lost Lake Cafe & Lounge, 1505 10th Ave, Seattle, WA 98122",98122.0,Capitol Hill,"10th Ave,",365.0,365.0,4.0,131.0,"1500 10th Ave, Seattle, WA 98122-3807","#234 of 2,182 Restaurants in Seattle","[55, 46, 12, 4, 4]",$$ - $$$,AmericanBarCafe,Capitol Hill,358.0,"1500 10th Ave, Seattle, WA 98122-3807",3.1,1136.0,$$,"['Breakfast & Brunch', 'New American', 'Beer Bar']","['252', '166', '175', '267', '276']",Capitol Hill
2,2.0,Seattle Fish Company,Seafood restaurant,Seafood restaurant,4.5,963.0,"Seattle Fish Company, 4435 California Ave SW, Seattle, WA 98116",98116.0,Other,"California Ave SW,",498.0,498.0,4.0,102.0,"4435 California Ave SW, Seattle, WA 98116","#307 of 2,182 Restaurants in Seattle","[50, 32, 7, 5, 5]",$$ - $$$,AmericanSeafood,Other,488.0,"4435 California Ave SW, Seattle, WA 98116",3.9,513.0,$$,"['Seafood Markets', 'Seafood', 'Fish & Chips']","['52', '42', '60', '110', '249']",Other
3,3.0,Locust Cider Market Place,Cider bar,"Cider bar, Bar, Brewpub",4.7,108.0,"Locust Cider Market Place, 2003 Western Ave Suite 110C, Seattle, WA 98121",98121.0,Belltown,Western Ave,3052.0,3053.0,4.0,1.0,"2003 Western Ave Suite 110C, Seattle, WA 98121-2161","#1,867 of 2,182 Restaurants in Seattle","[0, 1, 0, 0, 0]",$$ - $$$,AmericanPub,Belltown,2955.0,"2003 Western Ave Suite 110C, Seattle, WA 98121-2161",4.7,49.0,$$,"['Cideries', 'Brewpubs']","['0', '1', '2', '10', '36']",Belltown
4,5.0,Marination Ma Kai,Hawaiian restaurant,"Hawaiian restaurant, Bar",4.5,3116.0,"Marination Ma Kai, 1660 Harbor Ave SW, Seattle, WA 98126",98126.0,Other,"Harbor Ave SW,",92.0,92.0,4.5,251.0,"1660 Harbor Ave SW, Seattle, WA 98126-2028",#21 of 302 Quick Bites in Seattle,"[129, 87, 21, 5, 0]",$,Quick BitesBarPolynesian,Other,91.0,"1660 Harbor Ave SW, Seattle, WA 98126-2028",4.1,1279.0,$$,"['Korean', 'Hawaiian', 'Asian Fusion']","['52', '69', '165', '408', '585']",Other
5,6.0,Caffe Ladro,Coffee shop,Coffee shop,4.2,25.0,"Caffe Ladro - Downtown at 2+U, 1201 2nd Ave, Seattle, WA 98101",98101.0,Downtown,"2nd Ave,",,,,,,,,,,,,,,,,,,
6,7.0,Kiriba,Sushi restaurant,"Sushi restaurant, Asian restaurant, Japanese restaurant",4.5,554.0,"Kiriba Sushi & Grill, 323 N 145th St, Seattle, WA 98133",98133.0,Bitter Lake,"N 145th St,",2048.0,2048.0,4.0,12.0,"323 N 145th St, Seattle, WA 98133-6850","#1,242 of 2,182 Restaurants in Seattle","[6, 2, 3, 1, 0]",$$ - $$$,JapaneseSeafoodSushi,Bitter Lake,1986.0,"323 N 145th St, Seattle, WA 98133-6850",4.1,272.0,Unclaimed,"['Japanese', 'Sushi Bars']","['19', '11', '33', '75', '134']",Bitter Lake
7,8.0,Seattle's Best Karaoke,Karaoke,Karaoke,4.2,153.0,"Seattle's Best Karaoke, 1818 Minor Ave, Seattle, WA 98101",98101.0,Downtown,"Minor Ave,",3232.0,3233.0,3.0,3.0,"1818 Minor Ave, Seattle, WA 98101-1414","#1,984 of 2,182 Restaurants in Seattle","[0, 1, 0, 0, 1]",,,Downtown,3129.0,"1818 Minor Ave, Seattle, WA 98101-1414",3.8,80.0,$$,['Karaoke'],"['6', '8', '11', '25', '30']",Downtown
8,9.0,Oasis Tea Zone,Cafe,"Cafe, Bubble tea store",4.3,1722.0,"Oasis Tea Zone (Chinatown ID), 519 6th Ave S, Seattle, WA 98104",98104.0,Chinatown,"6th Ave S,",1553.0,1553.0,4.0,22.0,"519 6th Ave S, Seattle, WA 98104-2878",#90 of 225 Coffee & Tea in Seattle,"[7, 11, 0, 0, 2]",$,DessertAsian,Chinatown,1509.0,"519 6th Ave S, Seattle, WA 98104-2878",3.5,960.0,Unclaimed,"['Coffee & Tea', 'Juice Bars & Smoothies', 'Bubble Tea']","['112', '92', '194', '343', '219']",Chinatown
9,11.0,The Spectator,Sports bar,"Sports bar, Bar",3.6,5.0,"The Spectator, 529 Queen Anne Ave N, Seattle, WA 98109",98109.0,Queen Anne/South Lake Union,"Queen Anne Ave N,",3268.0,3269.0,4.0,1.0,"529 Queen Anne Ave N, Seattle, WA 98109-4521","#2,008 of 2,182 Restaurants in Seattle","[0, 1, 0, 0, 0]",,,Queen Anne/South Lake Union,3163.0,"529 Queen Anne Ave N, Seattle, WA 98109-4521",3.6,96.0,$,"['Sports Bars', 'Burgers']","['4', '10', '21', '45', '16']",Queen Anne/South Lake Union
10,12.0,McDonald's,Fast food restaurant,Fast food restaurant,2.5,73.0,"McDonald's, 6546 California Ave SW, Seattle, WA 98136",98136.0,Other,"California Ave SW,",3195.0,3196.0,4.0,1.0,"6546 California Ave SW, Seattle, WA 98136","#1,963 of 2,182 Restaurants in Seattle","[0, 1, 0, 0, 0]",,,Other,3094.0,"6546 California Ave SW, Seattle, WA 98136",2.2,37.0,$,"['Burgers', 'Fast Food', 'Coffee & Tea']","['19', '6', '4', '2', '6']",Other
11,13.0,The Roanoke,Bar,"Bar, Pub, Sports bar",4.6,214.0,"The Roanoke, 2409 10th Ave E, Seattle, WA 98102",98102.0,Capitol Hill,"10th Ave E,",2120.0,2120.0,4.5,9.0,"2409 10th Ave E, Seattle, WA 98102-4011","#1,286 of 2,182 Restaurants in Seattle","[4, 4, 1, 0, 0]",,Pub,Capitol Hill,2057.0,"2409 10th Ave E, Seattle, WA 98102-4011",3.8,84.0,$,"['Dive Bars', 'Sports Bars', 'Pubs']","['6', '4', '20', '27', '27']",Capitol Hill
12,14.0,Gyros Place,Mediterranean restaurant,"Mediterranean restaurant, Greek restaurant, Gyro restaurant, Juice shop",4.7,63.0,"Gyros Place, 1501 4th Ave #109, Seattle, WA 98101",98101.0,Downtown,4th Ave,2708.0,2708.0,4.0,2.0,"1501 4th Ave Ste 109, Century Square, Seattle, WA 98101-3225","#1,653 of 2,182 Restaurants in Seattle","[0, 0, 1, 0, 0]",,,Downtown,2624.0,"1501 4th Ave Ste 109, Century Square, Seattle, WA 98101-3225",3.9,24.0,$,"['Greek', 'Juice Bars & Smoothies']","['2', '3', '1', '7', '11']",Downtown
13,15.0,Mighty-O Donuts,Donut shop,"Donut shop, Cafe, Coffee shop",4.4,366.0,"Mighty-O Donuts Denny Triangle, 1812 Boren Ave, Seattle, WA 98101",98101.0,Downtown,"Boren Ave,",2455.0,2455.0,4.0,3.0,"1812 Boren Ave, Seattle, WA 98101-1453","#1,486 of 2,182 Restaurants in Seattle","[2, 0, 0, 1, 0]",,,Downtown,2385.0,"1812 Boren Ave, Seattle, WA 98101-1453",4.3,103.0,$,"['Donuts', 'Coffee & Tea']","['3', '6', '9', '19', '66']",Downtown
14,16.0,Optimism Brewing Company,Brewery,"Brewery, Beer garden, Beer hall, Brewpub",4.6,1513.0,"Optimism Brewing Company, 1158 Broadway, Seattle, WA 98122",98122.0,Capitol Hill,"Broadway,",296.0,296.0,4.5,64.0,"1158 Broadway, Seattle, WA 98122-4202",#1 of 69 Bars & Pubs in Seattle,"[42, 9, 5, 2, 0]",$,Brew PubPub,Capitol Hill,292.0,"1158 Broadway, Seattle, WA 98122-4202",4.2,640.0,$$,"['Beer Gardens', 'Brewpubs']","['29', '31', '54', '178', '348']",Capitol Hill
15,18.0,Thai Siam,Thai restaurant,"Thai restaurant, Asian restaurant, Cocktail bar, Restaurant",4.3,376.0,"Siam On Eastlake, 1629 Eastlake Ave E, Seattle, WA 98102",98102.0,Capitol Hill,"Eastlake Ave E,",,,,,,,,,,,,,,,,,,
16,19.0,Potbelly Sandwich Shop,Sandwich shop,"Sandwich shop, Beverage distributor, Caterer, Deli, Fast food restaurant, Lunch restaurant, Restaurant supply store",4.2,270.0,"Potbelly, 1208 Madison St #121, Seattle, WA 98104",98104.0,Chinatown,Madison St,,,,,,,,,,,,,,,,,,
17,21.0,Luna Azul,Mexican restaurant,"Mexican restaurant, Latin American restaurant",4.6,298.0,"Luna Azul, 8552 Greenwood Ave N, Seattle, WA 98103",98103.0,Fremont/Wallingford,"Greenwood Ave N,",2064.0,2064.0,5.0,5.0,"8552 Greenwood Ave N, Seattle, WA 98103-3614","#1,251 of 2,182 Restaurants in Seattle","[4, 1, 0, 0, 0]",$$ - $$$,Mexican,Fremont/Wallingford,2002.0,"8552 Greenwood Ave N, Seattle, WA 98103-3614",4.3,214.0,$$,"['Mexican', 'Latin American', 'Beer Bar']","['15', '10', '12', '38', '139']",Fremont/Wallingford
18,22.0,Northwest Tofu Inc,Tofu shop,Tofu shop,4.1,279.0,"Northwest Tofu Inc (Tofu manufacture ), 1913 S Jackson St, Seattle, WA 98144",98144.0,Other,"S Jackson St,",3015.0,3016.0,4.0,3.0,"1913 S Jackson St, Seattle, WA 98144-2224","#1,846 of 2,182 Restaurants in Seattle","[0, 3, 0, 0, 0]",,ChineseAsianTaiwanese,Other,2919.0,"1913 S Jackson St, Seattle, WA 98144-2224",3.7,244.0,Unclaimed,"['Specialty Food', 'Cantonese', 'Taiwanese']","['24', '12', '50', '96', '62']",Other
19,23.0,Starbucks,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.0,179.0,"Starbucks, 1101 Madison St, Seattle, WA 98104",98104.0,Chinatown,"Madison St,",,,,,,,,,,,,,,,,,,
20,24.0,That's Amore! Italian Cafe,Italian restaurant,"Italian restaurant, Restaurant",4.6,440.0,"Thats Amore Italian Cafe, 1425 31st Ave S, Seattle, WA 98144",98144.0,Other,"31st Ave S,",272.0,272.0,4.5,94.0,"1425 31st Ave S, Seattle, WA 98144-3909","#181 of 2,182 Restaurants in Seattle","[67, 22, 2, 1, 2]",$$ - $$$,ItalianVegetarian FriendlyVegan Options,Other,269.0,"1425 31st Ave S, Seattle, WA 98144-3909",4.3,390.0,$$,"['Italian', 'Pizza', 'Seafood']","['17', '16', '41', '85', '231']",Other
21,25.0,IHOP,Breakfast restaurant,"Breakfast restaurant, American restaurant, Family restaurant",4.1,1274.0,"IHOP, 10002 Aurora Ave N, Seattle, WA 98133",98133.0,Bitter Lake,"Aurora Ave N,",1606.0,1606.0,3.5,27.0,"10002 Aurora Ave N, Seattle, WA 98133-9347","#994 of 2,182 Restaurants in Seattle","[2, 11, 5, 3, 1]",$$ - $$$,AmericanVegetarian Friendly,Bitter Lake,,,,,,,,
22,27.0,Murphy's Pub,Irish pub,Irish pub,4.6,1022.0,"Murphy's Pub, 1928 N 45th St, Seattle, WA 98103",98103.0,Fremont/Wallingford,"N 45th St,",2766.0,2766.0,5.0,1.0,"1928 N 45th St, Seattle, WA 98103-6805","#1,688 of 2,182 Restaurants in Seattle","[1, 0, 0, 0, 0]",,,Fremont/Wallingford,2680.0,"1928 N 45th St, Seattle, WA 98103-6805",3.8,272.0,$$,"['Irish', 'Irish Pub']","['24', '18', '45', '76', '109']",Fremont/Wallingford
23,28.0,Triangle Pub,Bar,Bar,4.4,270.0,"Seattle's Historic Triangle Pub, Triangle Hotel and Bar, 553 1st Ave S, Seattle, WA 98104",98104.0,Chinatown,"1st Ave S,",1289.0,1289.0,4.0,21.0,"553 1st Ave S, Seattle, WA 98104-2803",#19 of 69 Bars & Pubs in Seattle,"[8, 8, 5, 0, 0]",$,BarPub,Chinatown,1263.0,"553 1st Ave S, Seattle, WA 98104-2803",4.0,60.0,$,"['Pubs', 'American']","['5', '2', '10', '16', '27']",Chinatown
24,29.0,Bar Solea,Pizza restaurant,Pizza restaurant,4.7,55.0,"Bar Solea, 822 1st Ave, Seattle, WA 98104",98104.0,Chinatown,"1st Ave,",,,,,,,,,,,,,,,,,,
25,30.0,Uneeda Burger,Hamburger restaurant,"Hamburger restaurant, American restaurant, Restaurant, Sandwich shop",4.5,2397.0,"Uneeda Burger, 4302 Fremont Ave N, Seattle, WA 98103",98103.0,Fremont/Wallingford,"Fremont Ave N,",215.0,215.0,4.0,174.0,"4306 Fremont Ave N, Seattle, WA 98103-7224","#143 of 2,182 Restaurants in Seattle","[75, 68, 17, 5, 2]",$$ - $$$,AmericanBarVegetarian Friendly,Fremont/Wallingford,212.0,"4306 Fremont Ave N, Seattle, WA 98103-7224",4.1,1422.0,$$,"['Burgers', 'Sandwiches']","['40', '101', '180', '511', '590']",Fremont/Wallingford
26,31.0,Mamnoon Street,Middle Eastern restaurant,Middle Eastern restaurant,4.3,956.0,"Mamnoon Street, 2020 6th Ave, Seattle, WA 98121",98121.0,Belltown,"6th Ave,",1151.0,1151.0,4.0,29.0,"2020 6th Ave, Seattle, WA 98121-2507","#721 of 2,182 Restaurants in Seattle","[11, 12, 3, 2, 1]",$$ - $$$,LebaneseMediterraneanMiddle Eastern,Belltown,1127.0,"2020 6th Ave, Seattle, WA 98121-2507",3.7,298.0,$$,"['Middle Eastern', 'Halal']","['31', '30', '45', '77', '115']",Belltown
27,32.0,Saigon Vietnam Deli,Vietnamese restaurant,"Vietnamese restaurant, Deli",4.5,802.0,"Saigon Vietnam Deli, 1200 S Jackson St # 7, Seattle, WA 98144",98144.0,Other,S Jackson St,,,,,,,,,,,,,,,,,,
28,34.0,Redtrees Restaurant + Bar,Restaurant,"Restaurant, Bar, Breakfast restaurant",4.2,57.0,"Redtrees Restaurant and Bar, 1301 6th Ave, Seattle, WA 98101",98101.0,Downtown,"6th Ave,",1938.0,1938.0,3.5,21.0,"1301 6th Ave, Seattle, WA 98101-2304","#1,175 of 2,182 Restaurants in Seattle","[5, 5, 9, 0, 1]",$$ - $$$,AmericanBarPub,Downtown,1878.0,"1301 6th Ave, Seattle, WA 98101-2304",3.2,18.0,Unclaimed,"['American', 'Bars', 'Breakfast & Brunch']","['3', '1', '6', '5', '3']",Downtown
29,35.0,The Pink Door,Butcher shop,Butcher shop,4.8,166.0,"The Live Butcher LLC, 9432 16th Ave SW, Seattle, WA 98106",98106.0,Other,"16th Ave SW,",,,,,,,,,,,,,,,,,,
30,36.0,Shawn O'Donnell's American Grill And Irish Pub,Fish & chips restaurant,"Fish & chips restaurant, Bar",4.6,873.0,"Macleod's Scottish Pub, 5200 Ballard Ave NW, Seattle, WA 98107",98107.0,Ballard,"Ballard Ave NW,",,,,,,,,,,,,,,,,,,
31,37.0,Starbucks,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.3,276.0,"Starbucks, 2344 Eastlake Ave E, Seattle, WA 98102",98102.0,Capitol Hill,"Eastlake Ave E,",3001.0,3002.0,4.0,2.0,"2344 Eastlake Ave E, Seattle, WA 98102-3306",#204 of 225 Coffee & Tea in Seattle,"[0, 2, 0, 0, 0]",,,Capitol Hill,2905.0,"2344 Eastlake Ave E, Seattle, WA 98102-3306",3.3,52.0,$,['Coffee & Tea'],"['8', '12', '5', '13', '14']",Capitol Hill
32,38.0,Bent Burgers,Hamburger restaurant,"Hamburger restaurant, American restaurant, Family restaurant, Fast food restaurant, Vegetarian restaurant",4.4,585.0,"Bent Burgers, 5100 S Dawson St #204, Seattle, WA 98118",98118.0,Other,S Dawson St,,,,,,,,,,,,,,,,,,
33,41.0,Brunello,Italian restaurant,Italian restaurant,4.5,585.0,"Brunello Ristorante Italiano, 7115 Roosevelt Way NE, Seattle, WA 98115",98115.0,Other,"Roosevelt Way NE,",865.0,865.0,4.5,23.0,"7115 Roosevelt Way NE, Seattle, WA 98115-5651","#542 of 2,182 Restaurants in Seattle","[14, 4, 2, 2, 0]",$$ - $$$,ItalianEuropeanVegetarian Friendly,Other,845.0,"7115 Roosevelt Way NE, Seattle, WA 98115-5651",4.4,381.0,$$,"['Italian', 'Wine Bars']","['16', '23', '25', '50', '267']",Other
34,42.0,Cedars Restaurant on Brooklyn,American restaurant,American restaurant,4.4,59.0,"Goat on Greenwood, 6722 Greenwood Ave N, Seattle, WA 98103",98103.0,Fremont/Wallingford,"Greenwood Ave N,",,,,,,,,,,,,,,,,,,
35,43.0,Nasai Teriyaki,Japanese restaurant,"Japanese restaurant, Restaurant",3.7,73.0,"Nasai Teriyaki, 5025 25th Ave NE, Seattle, WA 98105",98105.0,University District,"25th Ave NE,",,,,,,,,,,,,,,,,,,
36,44.0,Harry's Fine Foods,Restaurant,Restaurant,4.6,497.0,"Harry's Fine Foods, 601 Bellevue Ave E, Seattle, WA 98102",98102.0,Capitol Hill,"Bellevue Ave E,",1589.0,1589.0,4.5,9.0,"601 Bellevue Ave E, Seattle, WA 98102-4719","#985 of 2,182 Restaurants in Seattle","[5, 3, 1, 0, 0]",$$ - $$$,American,Capitol Hill,1543.0,"601 Bellevue Ave E, Seattle, WA 98102-4719",4.2,253.0,$$,['New American'],"['18', '21', '22', '31', '161']",Capitol Hill
37,45.0,Bourbon Steak Seattle,Steak house,"Steak house, American restaurant, Wine bar",4.3,361.0,"Bourbon Steak Seattle, 1433 4th Ave, Seattle, WA 98101",98101.0,Downtown,"4th Ave,",,,,,,,,,,,,,,,,,,
38,46.0,Molly Moon's Homemade Ice Cream,Ice cream shop,"Ice cream shop, Dessert restaurant, Dessert shop",4.6,1355.0,"Molly Moon's Homemade Ice Cream, 1622.5 N 45th St, Seattle, WA 98103",98103.0,Fremont/Wallingford,"N 45th St,",,,,,,,,,,,,,,,,,,
39,47.0,The Chieftain Irish Pub,Bar,"Bar, American restaurant, Irish pub",4.2,317.0,"Chieftain Irish Pub & Restaurant, 908 12th Ave, Seattle, WA 98122",98122.0,Capitol Hill,"12th Ave,",1989.0,1989.0,4.0,10.0,"908 12th Ave, Seattle, WA 98122-4412",#35 of 69 Bars & Pubs in Seattle,"[3, 5, 1, 1, 0]",$$ - $$$,AmericanPub,Capitol Hill,1929.0,"908 12th Ave, Seattle, WA 98122-4412",3.3,135.0,$$,"['Irish', 'American', 'Pubs']","['26', '18', '22', '34', '35']",Capitol Hill
40,49.0,Pizzuto's,Italian restaurant,Italian restaurant,4.6,214.0,"Pizzutos, 5032 Wilson Ave S, Seattle, WA 98118",98118.0,Other,"Wilson Ave S,",1096.0,1096.0,4.5,30.0,"5032 Wilson Ave S, Seattle, WA 98118-2085","#684 of 2,182 Restaurants in Seattle","[14, 12, 4, 0, 0]",$$ - $$$,ItalianPizzaVegetarian Friendly,Other,1073.0,"5032 Wilson Ave S, Seattle, WA 98118-2085",4.3,131.0,$$,"['Italian', 'Wine Bars', 'Beer Bar']","['10', '4', '7', '30', '80']",Other
41,50.0,Via Tribunali,Pizza restaurant,"Pizza restaurant, Neapolitan restaurant",4.4,628.0,"Via Tribunali, 913 E Pike St, Seattle, WA 98122",98122.0,Capitol Hill,"E Pike St,",395.0,395.0,4.0,157.0,"913 E Pike St, Seattle, WA 98122-3816","#248 of 2,182 Restaurants in Seattle","[71, 54, 14, 6, 4]",$$ - $$$,ItalianPizzaVegetarian Friendly,Capitol Hill,387.0,"913 E Pike St, Seattle, WA 98122-3816",3.9,642.0,Unclaimed,"['Pizza', 'Italian', 'Wine Bars']","['36', '63', '82', '208', '253']",Capitol Hill
42,51.0,Cooper's Alehouse,Pub,"Pub, American restaurant, Bar, Bar & grill, Sports bar",4.4,284.0,"Cooper's Alehouse, 8065 Lake City Way NE, Seattle, WA 98115",98115.0,Other,"Lake City Way NE,",3114.0,3115.0,3.5,9.0,"8065 Lake City Way NE, Seattle, WA 98115-4359",#61 of 69 Bars & Pubs in Seattle,"[3, 2, 2, 0, 2]",,Pub,Other,3015.0,"8065 Lake City Way NE, Seattle, WA 98115-4359",3.9,159.0,$$,"['American', 'Sports Bars', 'Chicken Wings']","['9', '7', '33', '58', '52']",Other
43,52.0,Frankie & Jo's,Ice cream shop,Ice cream shop,4.8,690.0,"Frankie & Jo's Ballard, 1411 NW 70th St, Seattle, WA 98117",98117.0,Other,"NW 70th St,",1886.0,1886.0,4.5,5.0,"1411 NW 70th St, Seattle, WA 98117-5340",#91 of 112 Desserts in Seattle,"[4, 0, 1, 0, 0]",,DessertCafe,Other,1830.0,"1411 NW 70th St, Seattle, WA 98117-5340",4.6,205.0,$$,['Ice Cream & Frozen Yogurt'],"['5', '5', '9', '36', '150']",Other
44,55.0,Foo Lam Restaurant,Chinese restaurant,"Chinese restaurant, Asian restaurant",3.8,242.0,"Foo Lam Chinese Restaurant, 7101 Martin Luther King Jr Way S, Seattle, WA 98118",98118.0,Other,"Martin Luther King Jr Way S,",1767.0,1767.0,4.5,10.0,"7101 Martin Luther King Jr Way S, Seattle, WA 98118-3594","#1,078 of 2,182 Restaurants in Seattle","[4, 4, 0, 0, 0]",$$ - $$$,Chinese,Other,1714.0,"7101 Martin Luther King Jr Way S, Seattle, WA 98118-3594",3.3,132.0,$$,"['Dim Sum', 'Cantonese']","['27', '18', '21', '23', '43']",Other
