,Name,Main Tag,Tags,Rating,Num Reviews,Address,Zip Code,Neighborhood
0,Mecca Cafe,Diner,"Diner, Bar, Breakfast restaurant, Brunch restaurant, Lunch restaurant",4.2,1629.0,"Mecca Cafe, 526 Queen Anne Ave N, Seattle, WA 98109",98109,Queen Anne/South Lake Union
1,Lost Lake Cafe & Lounge,Diner,"Diner, Bar, Breakfast restaurant, Brunch restaurant, Lunch restaurant, New American restaurant, Restaurant",4.2,3837.0,"Lost Lake Cafe & Lounge, 1505 10th Ave, Seattle, WA 98122",98122,Capitol Hill
2,Seattle Fish Company,Seafood restaurant,Seafood restaurant,4.5,963.0,"Seattle Fish Company, 4435 California Ave SW, Seattle, WA 98116",98116,Other
3,Locust Cider Market Place,Cider bar,"Cider bar, Bar, Brewpub",4.7,108.0,"Locust Cider Market Place, 2003 Western Ave Suite 110C, Seattle, WA 98121",98121,Belltown
5,Marination Ma Kai,Hawaiian restaurant,"Hawaiian restaurant, Bar",4.5,3116.0,"Marination Ma Kai, 1660 Harbor Ave SW, Seattle, WA 98126",98126,Other
6,Caffe Ladro - Downtown at 2+U,Coffee shop,Coffee shop,4.2,25.0,"Caffe Ladro - Downtown at 2+U, 1201 2nd Ave, Seattle, WA 98101",98101,Downtown
7,Kiriba Sushi & Grill,Sushi restaurant,"Sushi restaurant, Asian restaurant, Japanese restaurant",4.5,554.0,"Kiriba Sushi & Grill, 323 N 145th St, Seattle, WA 98133",98133,Bitter Lake
8,Seattle's Best Karaoke,Karaoke,Karaoke,4.2,153.0,"Seattle's Best Karaoke, 1818 Minor Ave, Seattle, WA 98101",98101,Downtown
9,Oasis Tea Zone (Chinatown ID),Cafe,"Cafe, Bubble tea store",4.3,1722.0,"Oasis Tea Zone (Chinatown ID), 519 6th Ave S, Seattle, WA 98104",98104,Chinatown
11,The Spectator,Sports bar,"Sports bar, Bar",3.6,5.0,"The Spectator, 529 Queen Anne Ave N, Seattle, WA 98109",98109,Queen Anne/South Lake Union
12,McDonald's,Fast food restaurant,Fast food restaurant,2.5,73.0,"McDonald's, 6546 California Ave SW, Seattle, WA 98136",98136,Other
13,The Roanoke,Bar,"Bar, Pub, Sports bar",4.6,214.0,"The Roanoke, 2409 10th Ave E, Seattle, WA 98102",98102,Capitol Hill
14,Gyros Place,Mediterranean restaurant,"Mediterranean restaurant, Greek restaurant, Gyro restaurant, Juice shop",4.7,63.0,"Gyros Place, 1501 4th Ave #109, Seattle, WA 98101",98101,Downtown
15,Mighty-O Donuts Denny Triangle,Donut shop,"Donut shop, Cafe, Coffee shop",4.4,366.0,"Mighty-O Donuts Denny Triangle, 1812 Boren Ave, Seattle, WA 98101",98101,Downtown
16,Optimism Brewing Company,Brewery,"Brewery, Beer garden, Beer hall, Brewpub",4.6,1513.0,"Optimism Brewing Company, 1158 Broadway, Seattle, WA 98122",98122,Capitol Hill
18,Siam On Eastlake,Thai restaurant,"Thai restaurant, Asian restaurant, Cocktail bar, Restaurant",4.3,376.0,"Siam On Eastlake, 1629 Eastlake Ave E, Seattle, WA 98102",98102,Capitol Hill
19,Potbelly,Sandwich shop,"Sandwich shop, Beverage distributor, Caterer, Deli, Fast food restaurant, Lunch restaurant, Restaurant supply store",4.2,270.0,"Potbelly, 1208 Madison St #121, Seattle, WA 98104",98104,Chinatown
21,Luna Azul,Mexican restaurant,"Mexican restaurant, Latin American restaurant",4.6,298.0,"Luna Azul, 8552 Greenwood Ave N, Seattle, WA 98103",98103,Fremont/Wallingford
22,Northwest Tofu Inc (Tofu manufacture ),Tofu shop,Tofu shop,4.1,279.0,"Northwest Tofu Inc (Tofu manufacture ), 1913 S Jackson St, Seattle, WA 98144",98144,Other
23,Starbucks,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.0,179.0,"Starbucks, 1101 Madison St, Seattle, WA 98104",98104,Chinatown
24,Thats Amore Italian Cafe,Italian restaurant,"Italian restaurant, Restaurant",4.6,440.0,"Thats Amore Italian Cafe, 1425 31st Ave S, Seattle, WA 98144",98144,Other
25,IHOP,Breakfast restaurant,"Breakfast restaurant, American restaurant, Family restaurant",4.1,1274.0,"IHOP, 10002 Aurora Ave N, Seattle, WA 98133",98133,Bitter Lake
27,Murphy's Pub,Irish pub,Irish pub,4.6,1022.0,"Murphy's Pub, 1928 N 45th St, Seattle, WA 98103",98103,Fremont/Wallingford
28,Seattle's Historic Triangle Pub,Bar,Bar,4.4,270.0,"Seattle's Historic Triangle Pub, Triangle Hotel and Bar, 553 1st Ave S, Seattle, WA 98104",98104,Chinatown
29,Bar Solea,Pizza restaurant,Pizza restaurant,4.7,55.0,"Bar Solea, 822 1st Ave, Seattle, WA 98104",98104,Chinatown
30,Uneeda Burger,Hamburger restaurant,"Hamburger restaurant, American restaurant, Restaurant, Sandwich shop",4.5,2397.0,"Uneeda Burger, 4302 Fremont Ave N, Seattle, WA 98103",98103,Fremont/Wallingford
31,Mamnoon Street,Middle Eastern restaurant,Middle Eastern restaurant,4.3,956.0,"Mamnoon Street, 2020 6th Ave, Seattle, WA 98121",98121,Belltown
32,Saigon Vietnam Deli,Vietnamese restaurant,"Vietnamese restaurant, Deli",4.5,802.0,"Saigon Vietnam Deli, 1200 S Jackson St # 7, Seattle, WA 98144",98144,Other
34,Redtrees Restaurant and Bar,Restaurant,"Restaurant, Bar, Breakfast restaurant",4.2,57.0,"Redtrees Restaurant and Bar, 1301 6th Ave, Seattle, WA 98101",98101,Downtown
35,The Live Butcher LLC,Butcher shop,Butcher shop,4.8,166.0,"The Live Butcher LLC, 9432 16th Ave SW, Seattle, WA 98106",98106,Other
36,Macleod's Scottish Pub,Fish & chips restaurant,"Fish & chips restaurant, Bar",4.6,873.0,"Macleod's Scottish Pub, 5200 Ballard Ave NW, Seattle, WA 98107",98107,Ballard
37,Starbucks,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.3,276.0,"Starbucks, 2344 Eastlake Ave E, Seattle, WA 98102",98102,Capitol Hill
38,Bent Burgers,Hamburger restaurant,"Hamburger restaurant, American restaurant, Family restaurant, Fast food restaurant, Vegetarian restaurant",4.4,585.0,"Bent Burgers, 5100 S Dawson St #204, Seattle, WA 98118",98118,Other
41,Brunello Ristorante Italiano,Italian restaurant,Italian restaurant,4.5,585.0,"Brunello Ristorante Italiano, 7115 Roosevelt Way NE, Seattle, WA 98115",98115,Other
42,Goat on Greenwood,American restaurant,American restaurant,4.4,59.0,"Goat on Greenwood, 6722 Greenwood Ave N, Seattle, WA 98103",98103,Fremont/Wallingford
43,Nasai Teriyaki,Japanese restaurant,"Japanese restaurant, Restaurant",3.7,73.0,"Nasai Teriyaki, 5025 25th Ave NE, Seattle, WA 98105",98105,University District
44,Harry's Fine Foods,Restaurant,Restaurant,4.6,497.0,"Harry's Fine Foods, 601 Bellevue Ave E, Seattle, WA 98102",98102,Capitol Hill
45,Bourbon Steak Seattle,Steak house,"Steak house, American restaurant, Wine bar",4.3,361.0,"Bourbon Steak Seattle, 1433 4th Ave, Seattle, WA 98101",98101,Downtown
46,Molly Moon's Homemade Ice Cream,Ice cream shop,"Ice cream shop, Dessert restaurant, Dessert shop",4.6,1355.0,"Molly Moon's Homemade Ice Cream, 1622.5 N 45th St, Seattle, WA 98103",98103,Fremont/Wallingford
47,Chieftain Irish Pub & Restaurant,Bar,"Bar, American restaurant, Irish pub",4.2,317.0,"Chieftain Irish Pub & Restaurant, 908 12th Ave, Seattle, WA 98122",98122,Capitol Hill
49,Pizzutos,Italian restaurant,Italian restaurant,4.6,214.0,"Pizzutos, 5032 Wilson Ave S, Seattle, WA 98118",98118,Other
50,Via Tribunali,Pizza restaurant,"Pizza restaurant, Neapolitan restaurant",4.4,628.0,"Via Tribunali, 913 E Pike St, Seattle, WA 98122",98122,Capitol Hill
51,Cooper's Alehouse,Pub,"Pub, American restaurant, Bar, Bar & grill, Sports bar",4.4,284.0,"Cooper's Alehouse, 8065 Lake City Way NE, Seattle, WA 98115",98115,Other
52,Frankie & Jo's Ballard,Ice cream shop,Ice cream shop,4.8,690.0,"Frankie & Jo's Ballard, 1411 NW 70th St, Seattle, WA 98117",98117,Other
55,Foo Lam Chinese Restaurant,Chinese restaurant,"Chinese restaurant, Asian restaurant",3.8,242.0,"Foo Lam Chinese Restaurant, 7101 Martin Luther King Jr Way S, Seattle, WA 98118",98118,Other
56,Noi Thai Cuisine - Downtown Seattle,Thai restaurant,"Thai restaurant, Asian restaurant, Bar, Fine dining restaurant, Restaurant, Southeast Asian restaurant",4.4,2074.0,"Noi Thai Cuisine - Downtown Seattle, 1303 1st Ave, Seattle, WA 98101",98101,Downtown
57,Siam on Eastlake,Restaurant,Restaurant,3.8,8.0,"Siam on Eastlake, 1880 Fairview Ave E, Seattle, WA 98102",98102,Capitol Hill
58,Pel Meni Dumpling Tzar,Dumpling restaurant,"Dumpling restaurant, Bar, Restaurant, Russian restaurant",4.3,815.0,"Pel Meni Dumpling Tzar, 3518 Fremont Pl N, Seattle, WA 98103",98103,Fremont/Wallingford
59,Luciano's Pizza & Pasta,Pizza restaurant,"Pizza restaurant, Pizza delivery, Pizza Takeout",3.9,195.0,"Luciano's Pizza & Pasta, 2341 California Ave SW, Seattle, WA 98116",98116,Other
60,The Halal Guys,Halal restaurant,Halal restaurant,3.9,811.0,"The Halal Guys, 101 Yesler Wy, Seattle, WA 98104",98104,Chinatown
61,Atmos Cafe,Cafe,Cafe,2.0,8.0,"Atmos Cafe, 400 Broad St, Seattle, WA 98109",98109,Queen Anne/South Lake Union
62,Red Cedar & Sage,Pacific Northwest restaurant (US),"Pacific Northwest restaurant (US), Restaurant",4.3,302.0,"Red Cedar & Sage, 1501 Pike Pl #200, Seattle, WA 98101",98101,Downtown
63,Einstein Bros. Bagels,Bagel shop,"Bagel shop, Bakery, Breakfast restaurant, Cafe, Coffee shop",4.1,223.0,"Einstein Bros. Bagels, 2746 NE 45th St, Seattle, WA 98105",98105,University District
65,Seattle Culinary Academy at Seattle Central College,Culinary school,Culinary school,4.7,7.0,"Seattle Culinary Academy at Seattle Central College, 1701 Broadway BE2120, Seattle, WA 98122",98122,Capitol Hill
66,Mr D's Greek Delicacies,Greek restaurant,"Greek restaurant, Gyro restaurant, Delivery Restaurant, Takeout Restaurant, Restaurant",4.4,263.0,"Mr D's Greek Delicacies, 1518 Pike Pl, Seattle, WA 98101",98101,Downtown
67,Ezell's Famous Chicken,American restaurant,"American restaurant, Fast food restaurant, Restaurant, Soul food restaurant",4.3,1811.0,"Ezell's Famous Chicken, 2300 N 45th St #6906, Seattle, WA 98103",98103,Fremont/Wallingford
68,Outlier,Small plates restaurant,"Small plates restaurant, Bar",3.9,524.0,"Outlier, 1101 4th Ave, Seattle, WA 98101",98101,Downtown
69,Willmott's Ghost,Restaurant,Restaurant,4.3,423.0,"Willmott's Ghost, 2100 6th Ave, Seattle, WA 98121",98121,Belltown
72,Mee Sum Pastry,Chinese bakery,"Chinese bakery, Chinese restaurant",4.5,814.0,"Mee Sum Pastry, 1526 Pike Pl, Seattle, WA 98101",98101,Downtown
73,Blue Water Taco Grill Catering,Mexican restaurant,Mexican restaurant,4.4,170.0,"Blue Water Taco Grill Catering, 2962 1st Ave S, Seattle, WA 98134",98134,Other
74,Ballard Kiss Cafe,Sandwich shop,"Sandwich shop, Beer store",4.7,453.0,"Ballard Kiss Cafe, 2817 NW Market St, Seattle, WA 98107",98107,Ballard
75,Meekong Bar,Asian restaurant,"Asian restaurant, Bar, Pho restaurant, Vietnamese restaurant",4.5,558.0,"Meekong Bar, 2525 4th Ave, Seattle, WA 98121",98121,Belltown
76,Starbucks,Coffee shop,"Coffee shop, Cafe, Coffee store, Espresso bar",3.9,96.0,"Starbucks, 2746 NE 45th St, Seattle, WA 98105",98105,University District
77,City Grind Espresso,Coffee shop,Coffee shop,4.7,17.0,"City Grind Espresso, Hall, 600 4th Ave First Floor, Seattle, WA 98104",98104,Chinatown
78,Mekong Village,Vietnamese restaurant,"Vietnamese restaurant, Asian restaurant, Restaurant, Southeast Asian restaurant",4.5,465.0,"Mekong Village, 12020 Aurora Ave N, Seattle, WA 98133",98133,Bitter Lake
79,Elliott Bay Book Company,Book store,Book store,4.8,3881.0,"Elliott Bay Book Company, 1521 10th Ave, Seattle, WA 98122",98122,Capitol Hill
81,The Dray,Pub,"Pub, Coffee shop, Restaurant",4.7,200.0,"The Dray, 708 NW 65th St, Seattle, WA 98117",98117,Other
