,Name,Encoded Name,Searched City,Yelp URL,Yelp Rating,Yelp Num Reviews,Yelp Address,Yelp Cost,Yelp Neighborhood,Yelp Tags
0,The Pink Door,The%20Pink%20Door,Seattle,https://www.yelp.com/biz/the-pink-door-seattle-4,4.4,7010,"1919 Post Alley Seattle, WA 98101",$$,Downtown,"['Italian', 'Wine Bars', 'Seafood']"
1,Nue,Nue,Seattle,https://www.yelp.com/biz/nue-seattle,4.2,1462,"1519 14th Ave Seattle, WA 98122",$$,Capitol Hill,"['Tapas/Small Plates', 'Cocktail Bars', 'Breakfast & Brunch']"
2,Biscuit Bitch,Biscuit%20Bitch,Seattle,https://www.yelp.com/biz/biscuit-bitch-seattle,4.2,4731,"1909 1st Ave Seattle, WA 98101",$$,Downtown,"['Breakfast & Brunch', 'Coffee & Tea', 'Southern']"
3,2120,2120,Seattle,https://www.yelp.com/biz/2120-seattle,4.3,629,"2120 6th Ave Seattle, WA 98121",$$$,Denny Triangle,"['New American', 'Cocktail Bars']"
4,Witness,Witness,Seattle,https://www.yelp.com/biz/witness-seattle,4.2,915,"410 Broadway E Seattle, WA 98102",$$,Capitol Hill,"['Southern', 'Cocktail Bars']"
5,The Walrus and the Carpenter,The%20Walrus%20and%20the%20Carpenter,Seattle,https://www.yelp.com/biz/the-walrus-and-the-carpenter-seattle,4.2,1887,"4743 Ballard Ave NW Seattle, WA 98107",$$$,Ballard,"['Seafood', 'Tapas/Small Plates']"
6,Six Seven Restaurant,Six%20Seven%20Restaurant,Seattle,https://www.yelp.com/biz/six-seven-restaurant-seattle-3,4.1,1258,"2411 Alaskan Way Seattle, WA 98121",$$$,Interbay,"['New American', 'Seafood', 'Cocktail Bars']"
7,List,List,Seattle,https://www.yelp.com/biz/list-seattle,4.3,2102,"2226 1st Ave Seattle, WA 98121",$$,Belltown,"['Tapas/Small Plates', 'Cocktail Bars', 'American']"
8,Tilikum Place Cafe,Tilikum%20Place%20Cafe,Seattle,https://www.yelp.com/biz/tilikum-place-cafe-seattle-3,4.3,2272,"407 Cedar St Seattle, WA 98121",$$,Belltown,"['New American', 'Breakfast & Brunch', 'Desserts']"
9,Elliott’s Oyster House,Elliott%E2%80%99s%20Oyster%20House,Seattle,https://www.yelp.com/biz/elliotts-oyster-house-seattle-2,3.9,4357,"1201 Alaskan Way Pier 56 Seattle, WA 98101",$$$,Waterfront,['Seafood']
10,Toulouse Petit Kitchen & Lounge,Toulouse%20Petit%20Kitchen%20%26%20Lounge,Seattle,https://www.yelp.com/biz/toulouse-petit-kitchen-and-lounge-seattle,4,5027,"601 Queen Anne Ave N Seattle, WA 98109",$$,Lower Queen Anne,"['Cajun/Creole', 'Breakfast & Brunch', 'Seafood']"
11,Shaker + Spear,Shaker%20%2B%20Spear,Seattle,https://www.yelp.com/biz/shaker-spear-seattle-2,4.4,1071,"2000 2nd Ave Seattle, WA 98121",$$,Belltown,"['Seafood', 'New American', 'Breakfast & Brunch']"
12,Purple Café and Wine Bar,Purple%20Caf%C3%A9%20and%20Wine%20Bar,Seattle,https://www.yelp.com/biz/purple-caf%25C3%25A9-and-wine-bar-seattle-3,,,,,,
13,The White Swan Public House,The%20White%20Swan%20Public%20House,Seattle,https://www.yelp.com/biz/the-white-swan-public-house-seattle-2,3.9,414,"1001 Fairview Ave N Seattle, WA 98109",$$,"South Lake Union, Eastlake","['Bars', 'Seafood']"
14,Pike Place Chowder,Pike%20Place%20Chowder,Seattle,https://www.yelp.com/biz/pike-place-chowder-seattle,4.4,9065,"1530 Post Aly Ste 11 Seattle, WA 98101",$$,Downtown,"['Seafood', 'Soup']"
15,Damn the Weather,Damn%20the%20Weather,Seattle,https://www.yelp.com/biz/damn-the-weather-seattle,3.8,563,"116 1st Ave S Seattle, WA 98104",$$,Pioneer Square,"['Cocktail Bars', 'New American']"
16,Ishoni Yakiniku,Ishoni%20Yakiniku,Seattle,https://www.yelp.com/biz/ishoni-yakiniku-seattle,4.5,269,"611 Broadway E Seattle, WA 98102",,Capitol Hill,"['Barbeque', 'Japanese']"
17,Katsu-ya Seattle,Katsu-ya%20Seattle,Seattle,https://www.yelp.com/biz/katsu-ya-seattle-seattle,4.4,286,"122 Westlake Ave N Seattle, WA 98109",$$,South Lake Union,"['Sushi Bars', 'Japanese', 'Seafood']"
18,Biang Biang Noodles,Biang%20Biang%20Noodles,Seattle,https://www.yelp.com/biz/biang-biang-noodles-seattle-2,4.3,1209,"601 E Pike St Unit 100 Seattle, WA 98122",$$,"First Hill, Capitol Hill","['Noodles', 'Szechuan']"
19,Kedai Makan,Kedai%20Makan,Seattle,https://www.yelp.com/biz/kedai-makan-seattle-4,4.2,1339,"1449 E Pine St Seattle, WA 98122",$$,Capitol Hill,"['Malaysian', 'Noodles', 'Bars']"
20,Cascina Spinasse,Cascina%20Spinasse,Seattle,https://www.yelp.com/biz/cascina-spinasse-seattle,4.4,1366,"1531 14th Ave Seattle, WA 98122",$$$,Capitol Hill,['Italian']
21,Radiator Whiskey,Radiator%20Whiskey,Seattle,https://www.yelp.com/biz/radiator-whiskey-seattle,4.4,1417,"94 Pike St Ste 30 Seattle, WA 98101",$$,Downtown,"['New American', 'Cocktail Bars', 'Comfort Food']"
22,Sawyer,Sawyer,Seattle,https://www.yelp.com/biz/sawyer-seattle-3,4.4,475,"5309 22nd Ave NW Seattle, WA 98107",,Ballard,['New American']
23,Kedai Makan,Kedai%20Makan,Seattle,https://www.yelp.com/biz/kedai-makan-seattle-4,4.2,1339,"1449 E Pine St Seattle, WA 98122",$$,Capitol Hill,"['Malaysian', 'Noodles', 'Bars']"
24,How To Cook a Wolf,How%20To%20Cook%20a%20Wolf,Seattle,https://www.yelp.com/biz/how-to-cook-a-wolf-seattle,4.1,1110,"2208 Queen Anne Ave N Seattle, WA 98109",$$$,Queen Anne,"['Italian', 'Tapas/Small Plates']"
25,Taylor Shellfish Oyster Bar,Taylor%20Shellfish%20Oyster%20Bar,Seattle,https://www.yelp.com/biz/taylor-shellfish-oyster-bar-seattle,4.1,778,"124 Republican St Seattle, WA 98109",$$,Lower Queen Anne,"['Seafood', 'Bars', 'American']"
26,re:public,re%3Apublic,Seattle,https://www.yelp.com/biz/re-public-seattle-2,3.8,657,"429 Westlake Ave N Seattle, WA 98109",$$,South Lake Union,"['New American', 'Bars']"
27,Pasta Casalinga,Pasta%20Casalinga,Seattle,https://www.yelp.com/biz/pasta-casalinga-seattle,4.6,301,"93 Pike St Ste 201 Seattle, WA 98101",$$,Downtown,"['Italian', 'Pasta Shops']"
28,Fogón Cocina Mexicana,Fog%C3%B3n%20Cocina%20Mexicana,Seattle,https://www.yelp.com/biz/fog%25C3%25B3n-cocina-mexicana-seattle-2,,,,,,
29,Some Random Bar,Some%20Random%20Bar,Seattle,https://www.yelp.com/biz/some-random-bar-seattle,4.5,1189,"2604 1st Ave Seattle, WA 98121",$$,Belltown,"['New American', 'Cocktail Bars', 'Breakfast & Brunch']"
30,Zig Zag Cafe,Zig%20Zag%20Cafe,Seattle,https://www.yelp.com/biz/zig-zag-cafe-seattle-2,4.3,1128,"1501 Western Ave Ste 202 Seattle, WA 98101",$$$,Downtown,"['New American', 'Cocktail Bars', 'Mediterranean']"
31,Pomodoro,Pomodoro,Seattle,https://www.yelp.com/biz/pomodoro-seattle,4.5,538,"2366 Eastlake Ave E Seattle, WA 98102",$$,Eastlake,"['Italian', 'Spanish', 'Tapas/Small Plates']"
32,Skalka,Skalka,Seattle,https://www.yelp.com/biz/skalka-seattle-4,4.5,936,"77 Spring St Seattle, WA 98104",$$,Downtown,"['Breakfast & Brunch', 'Georgian', 'Cafes']"
33,Skillet Capitol Hill,Skillet%20Capitol%20Hill,Seattle,https://www.yelp.com/biz/skillet-seattle-seattle,3.9,2273,"1400 East Union St Seattle, WA 98122",$$,Central District,"['Breakfast & Brunch', 'New American']"
34,Reckless Noodle House,Reckless%20Noodle%20House,Seattle,https://www.yelp.com/biz/reckless-noodle-house-seattle-2,4.5,439,"2519 S Jackson St Seattle, WA 98144",$$,Atlantic,"['Bars', 'Noodles', 'Asian Fusion']"
35,Fogón Cocina Mexicana,Fog%C3%B3n%20Cocina%20Mexicana,Seattle,https://www.yelp.com/biz/fog%25C3%25B3n-cocina-mexicana-seattle-2,,,,,,
36,LOCAL Public Eatery,LOCAL%20Public%20Eatery,Seattle,https://www.yelp.com/biz/local-public-eatery-seattle-6,3.9,550,"404 Terry Ave N Seattle, WA 98109",$$,South Lake Union,"['Bars', 'New American']"
37,G.H. Pasta Co.,G.H.%20Pasta%20Co.,Seattle,https://www.yelp.com/biz/g-h-pasta-co-seattle,4.2,310,"2305 6th Ave Seattle, WA 98121",$$,Denny Triangle,"['Italian', 'Pasta Shops']"
38,Meet Korean BBQ,Meet%20Korean%20BBQ,Seattle,https://www.yelp.com/biz/meet-korean-bbq-seattle,4.3,342,"500 E Pike St Seattle, WA 98122",$$$$,Capitol Hill,"['Barbeque', 'Korean']"
39,Bar Harbor,Bar%20Harbor,Seattle,https://www.yelp.com/biz/bar-harbor-seattle,4.1,293,"400 Fairview Ave N Ste 105 Seattle, WA 98109",$$,South Lake Union,"['Seafood', 'Cocktail Bars']"
40,Von’s 1000 Spirits,Von%E2%80%99s%201000%20Spirits,Seattle,https://www.yelp.com/biz/vons-1000-spirits-seattle-4,4.5,2986,"1225 1st Ave Seattle, WA 98101",$$,Downtown,"['New American', 'Burgers', 'Pubs']"
41,Olmstead,Olmstead,Seattle,https://www.yelp.com/biz/olmstead-seattle,4,274,"314 Broadway E Seattle, WA 98102",$$,Capitol Hill,"['New American', 'Cocktail Bars']"
