,index,Name,Rating,Num Reviews,Address,Marquee,Distribution,Cost,Tags,Zip Code,Neighborhood
0,0,Bakery Nouveau,5.0,1265,"4737 California Ave SW, Seattle, WA 98116-4412",#1 of 88 Bakeries in Seattle,"[1044, 154, 27, 9, 8]",$$ - $$$,BakeriesFrenchCafe,98116,Other
1,1,Ghost Alley Espresso,5.0,179,"1499 Post Alley Pike Place Market, Seattle, WA 98101-2031",#1 of 225 Coffee & Tea in Seattle,"[142, 26, 5, 1, 0]",$,Quick BitesCafe,98101,Downtown
2,2,The Pink Door,4.5,2931,"1919 Post Aly, Seattle, WA 98101-1014","#1 of 2,182 Restaurants in Seattle","[1907, 680, 162, 43, 37]",$$ - $$$,ItalianContemporaryTuscan,98101,Downtown
3,3,Le Panier,4.5,1719,"1902 Pike Pl, Seattle, WA 98101-1013",#2 of 88 Bakeries in Seattle,"[1136, 379, 65, 15, 5]",$$ - $$$,BakeriesFrenchCafe,98101,Downtown
4,4,Chan Seattle,4.5,314,"86 Pine St In the Paramount Hotel, Seattle, WA 98101-1531","#2 of 2,182 Restaurants in Seattle","[221, 55, 9, 3, 0]",$$ - $$$,BarAsianKorean,98101,Downtown
5,5,Fran's Chocolates,4.5,370,"1325 1st Ave Downtown Seattle, Seattle, WA 98101-2002",#3 of 112 Desserts in Seattle,"[251, 54, 12, 6, 3]",$$ - $$$,DessertFrench,98101,Downtown
7,7,Dahlia Bakery,4.5,788,"2001 4th Ave, Seattle, WA 98121-2414",#3 of 88 Bakeries in Seattle,"[570, 155, 31, 11, 2]",$$ - $$$,BakeriesAmericanVegetarian Friendly,98121,Belltown
8,8,Tat's Deli,4.5,301,"159 Yesler Way, Seattle, WA 98104-2539",#5 of 302 Quick Bites in Seattle,"[208, 72, 11, 3, 0]",$,Quick BitesAmericanFast Food,98104,Chinatown
9,9,Storyville Coffee Pike Place,4.5,373,"94 Pike St #34, Seattle, WA 98101-2066",#2 of 225 Coffee & Tea in Seattle,"[270, 68, 12, 4, 4]",$,Quick BitesCafe,98101,Downtown
10,10,Tilikum Place Cafe,4.5,762,"407 Cedar St, Seattle, WA 98121-1519","#3 of 2,182 Restaurants in Seattle","[487, 174, 40, 10, 3]",$$ - $$$,AmericanEuropeanVegetarian Friendly,98121,Belltown
11,11,The Capital Grille,4.5,646,"1301 4th Ave, Seattle, WA 98101","#4 of 2,182 Restaurants in Seattle","[406, 144, 40, 14, 11]",$$$$,AmericanSteakhouseVegetarian Friendly,98101,Downtown
12,12,Spinasse,4.5,432,"1531 14th Ave, Seattle, WA 98122-4023","#5 of 2,182 Restaurants in Seattle","[305, 78, 29, 4, 4]",$$$$,ItalianVegetarian FriendlyVegan Options,98122,Capitol Hill
13,13,The Crumpet Shop,4.5,1083,"1503 1st Ave, Seattle, WA 98101-1523",#7 of 302 Quick Bites in Seattle,"[686, 290, 64, 8, 1]",$,Quick BitesCafeBritish,98101,Downtown
14,14,Pike Place Chowder,4.5,4343,"1530 Post Aly Flagship Chowder House, Seattle, WA 98101-3520",#8 of 302 Quick Bites in Seattle,"[2677, 999, 258, 50, 15]",$,Quick BitesAmericanSeafood,98101,Downtown
15,15,Salumi Deli,4.5,433,"404 Occidental Ave S, Seattle, WA 98104-2836",#9 of 302 Quick Bites in Seattle,"[308, 80, 21, 7, 5]",$,Quick BitesItalian,98104,Chinatown
16,16,All Water Seafood & Oyster Bar,4.5,165,"1000 1st Ave Hotel 1000, LXR Hotels and Resorts, Seattle, WA 98104-1056","#6 of 2,182 Restaurants in Seattle","[124, 22, 11, 4, 2]",$$ - $$$,AmericanSeafoodVegetarian Friendly,98104,Chinatown
17,17,Rocco's,4.5,402,"2228 2nd Ave, Seattle, WA 98121-2017","#7 of 2,182 Restaurants in Seattle","[276, 73, 20, 7, 7]",$$ - $$$,ItalianAmericanBar,98121,Belltown
18,18,Shaker + Spear,4.5,320,"2000 2nd Avenue '05:00 Pm - 09:00 Pm', Seattle, WA 98121","#8 of 2,182 Restaurants in Seattle","[218, 67, 13, 11, 7]",$$ - $$$,AmericanSeafoodVegetarian Friendly,98121,Belltown
19,19,Daily Dozen Donuts,4.5,327,"93 Pike St Ste 7, Seattle, WA 98101-2052",#4 of 88 Bakeries in Seattle,"[214, 68, 27, 3, 2]",$,BakeriesAmericanFast Food,98101,Downtown
20,20,Beecher's Handmade Cheese,4.5,2374,"1600 Pike Pl, Seattle, WA 98101-1529",#10 of 302 Quick Bites in Seattle,"[1442, 601, 168, 24, 11]",$,Quick BitesAmericanVegetarian Friendly,98101,Downtown
21,21,Radiator Whiskey,4.5,291,"94 Pike St Ste 30 Corner of 1st & pike. Top floor of brick building across from showgirls, Seattle, WA 98101-2066","#9 of 2,182 Restaurants in Seattle","[184, 79, 16, 3, 2]",$$ - $$$,AmericanBarGluten Free Options,98101,Downtown
22,22,Macrina Bakery,4.5,454,"2408 1st Ave, Seattle, WA 98121-1312",#5 of 88 Bakeries in Seattle,"[273, 123, 27, 12, 1]",$$ - $$$,BakeriesAmericanCafe,98121,Belltown
23,23,Rachel's Ginger Beer,4.5,399,"Post Alley, Seattle, WA",#12 of 302 Quick Bites in Seattle,"[246, 106, 29, 2, 1]",$,Quick Bites,,Other
24,24,Vons 1000 Spirits,4.5,916,"1225 1st Ave, Seattle, WA 98101-2998","#10 of 2,182 Restaurants in Seattle","[478, 309, 54, 24, 17]",$$ - $$$,AmericanVegetarian FriendlyVegan Options,98101,Downtown
25,25,Bacco Cafe,4.5,1088,"86 Pine St Corner of 1st Ave & Stewart Street, Seattle, WA 98101-1531","#11 of 2,182 Restaurants in Seattle","[627, 300, 66, 28, 6]",$$ - $$$,AmericanCafeVegetarian Friendly,98101,Downtown
26,26,Paseo,4.5,592,"4225 Fremont Ave N, Seattle, WA 98103-7221",#13 of 302 Quick Bites in Seattle,"[397, 132, 31, 9, 5]",$,Quick BitesCaribbeanLatin,98103,Fremont/Wallingford
27,27,Citizen Coffee,4.5,427,"706 Taylor Ave N, Seattle, WA 98109-4221","#12 of 2,182 Restaurants in Seattle","[247, 129, 19, 10, 3]",$$ - $$$,AmericanCafeVegetarian Friendly,98109,Queen Anne/South Lake Union
28,28,Assaggio Ristorante,4.5,997,"2010 4th Ave, Seattle, WA 98121-2415","#13 of 2,182 Restaurants in Seattle","[609, 225, 70, 24, 32]",$$ - $$$,ItalianTuscanRomana,98121,Belltown
29,29,Shiro's,4.5,496,"2401 2nd Ave, Seattle, WA 98121-1424","#14 of 2,182 Restaurants in Seattle","[294, 93, 41, 10, 11]",$$$$,JapaneseSeafoodSushi,98121,Belltown
30,30,Andaluca Restaurant,4.5,742,"407 Olive Way Mayflower Park Hotel, Seattle, WA 98101","#15 of 2,182 Restaurants in Seattle","[455, 169, 65, 12, 7]",$$$$,MediterraneanVegetarian FriendlyVegan Options,98101,Downtown
31,31,Umi Sake House,4.5,806,"2230 1st Ave, Seattle, WA 98121-1615","#16 of 2,182 Restaurants in Seattle","[479, 199, 56, 14, 9]",$$ - $$$,JapaneseSushiAsian,98121,Belltown
32,32,The Walrus and the Carpenter,4.5,529,"4743 Ballard Ave NW, Seattle, WA 98107-4844","#17 of 2,182 Restaurants in Seattle","[356, 86, 38, 15, 16]",$$ - $$$,AmericanSeafoodGluten Free Options,98107,Ballard
33,33,Three Girls Bakery,4.5,379,"1514 Pike Pl Ste 1, Seattle, WA 98101-1574",#6 of 88 Bakeries in Seattle,"[219, 111, 26, 9, 7]",$,BakeriesAmericanVegetarian Friendly,98101,Downtown
34,34,Rockcreek Seafood & Spirits,4.5,450,"4300 Fremont Ave N, Seattle, WA 98103-7224","#18 of 2,182 Restaurants in Seattle","[283, 105, 31, 10, 7]",$$ - $$$,AmericanSeafoodVegetarian Friendly,98103,Fremont/Wallingford
35,35,Petra Bistro,4.5,337,"2501 4th Ave At the Corner of Wall St. and 4TH. Ave, Seattle, WA 98121-1437","#19 of 2,182 Restaurants in Seattle","[207, 82, 27, 6, 4]",$$ - $$$,LebaneseMediterraneanMiddle Eastern,98121,Belltown
36,36,Din Tai Fung,4.5,728,"2621 NE 46th St, Seattle, WA 98105-5041","#20 of 2,182 Restaurants in Seattle","[416, 190, 55, 14, 8]",$$ - $$$,ChineseAsianTaiwanese,98105,University District
37,37,Fremont Brewing,4.5,200,"3409 Woodland Park Ave N, Seattle, WA 98103-8925","#21 of 2,182 Restaurants in Seattle","[126, 47, 9, 0, 2]",$,Brew PubPub,98103,Fremont/Wallingford
38,38,Shuckers Oyster Bar,4.5,1003,"411 University St Fairmont Olympic Hotel, Seattle, WA 98101-2507","#22 of 2,182 Restaurants in Seattle","[547, 301, 79, 26, 9]",$$ - $$$,AmericanSeafoodVegetarian Friendly,98101,Downtown
39,39,Six Seven Restaurant,4.5,1182,"2411 Alaskan Way Pier 67, Seattle, WA 98121-1313","#23 of 2,182 Restaurants in Seattle","[704, 289, 90, 29, 30]",$$$$,SeafoodVegetarian FriendlyVegan Options,98121,Belltown
40,40,Din Tai Fung,4.5,311,"600 Pine St Suite 403, Seattle, WA 98101-3700","#24 of 2,182 Restaurants in Seattle","[176, 79, 26, 8, 2]",$$ - $$$,ChineseShanghaiVegetarian Friendly,98101,Downtown
41,41,Chinook's,4.5,615,"1900 W Nickerson St Ste 103, Seattle, WA 98119-1661","#25 of 2,182 Restaurants in Seattle","[323, 205, 56, 15, 2]",$$ - $$$,AmericanSeafoodVegetarian Friendly,98119,Other
42,42,Lola,4.5,2021,"2000 B 4th Ave, Seattle, WA 98121-2415","#26 of 2,182 Restaurants in Seattle","[1140, 588, 153, 49, 21]",$$ - $$$,AmericanMediterraneanVegetarian Friendly,98121,Belltown
45,45,Place Pigalle Restaurant and Bar,4.5,471,"81 Pike St Pike Place Market, Seattle, WA 98101-2024","#27 of 2,182 Restaurants in Seattle","[260, 129, 44, 11, 11]",$$$$,FrenchSeafoodEuropean,98101,Downtown
46,46,Piroshky Piroshky,4.5,1874,"1908 Pike Pl, Seattle, WA 98101-1013",#7 of 88 Bakeries in Seattle,"[1019, 481, 161, 47, 14]",$,BakeriesInternationalStreet Food,98101,Downtown
47,47,Portage Bay Cafe - Roosevelt,4.5,518,"4130 Roosevelt Way NE, Seattle, WA 98105-6436","#28 of 2,182 Restaurants in Seattle","[298, 133, 45, 17, 8]",$$ - $$$,AmericanCafeHealthy,98105,University District
48,48,Tulio,4.5,1178,"1100 5th Ave, Seattle, WA 98101","#29 of 2,182 Restaurants in Seattle","[678, 301, 95, 29, 22]",$$ - $$$,ItalianEuropeanTuscan,98101,Downtown
49,49,MOD Pizza,4.5,484,"1302 6th Ave One Union Square, Seattle, WA 98101-2305",#15 of 302 Quick Bites in Seattle,"[252, 154, 42, 8, 4]",$,Quick BitesItalianAmerican,98101,Downtown
50,50,Market Grill,4.5,263,"1509 Pike Pl Ste 3, Seattle, WA 98101-1526","#30 of 2,182 Restaurants in Seattle","[156, 60, 24, 4, 1]",$$ - $$$,AmericanSeafoodSoups,98101,Downtown
52,52,Altura Restaurant,4.5,352,"617 Broadway E, Seattle, WA 98102-5025","#31 of 2,182 Restaurants in Seattle","[265, 36, 21, 9, 5]",$$$$,ItalianVegetarian Friendly,98102,Capitol Hill
53,53,Toulouse Petit Kitchen & Lounge,4.5,1661,"601 Queen Anne Ave N, Seattle, WA 98109-4013","#32 of 2,182 Restaurants in Seattle","[1018, 393, 126, 45, 23]",$$ - $$$,AmericanCajun & CreoleVegetarian Friendly,98109,Queen Anne/South Lake Union
55,55,Canlis Restaurant,4.5,1230,"2576 Aurora Ave N, Seattle, WA 98109-2206","#33 of 2,182 Restaurants in Seattle","[840, 180, 92, 37, 40]",$$$$,AmericanContemporaryVegetarian Friendly,98109,Queen Anne/South Lake Union
56,56,Metropolitan Grill,4.5,1619,"820 2nd Ave, Seattle, WA 98104-1502","#34 of 2,182 Restaurants in Seattle","[969, 302, 134, 53, 32]",$$$$,SteakhouseGluten Free Options,98104,Chinatown
57,57,El Gaucho Seattle,4.5,610,"2200 Western Ave cross street: Blanchard, Seattle, WA 98121-1921","#35 of 2,182 Restaurants in Seattle","[360, 115, 58, 28, 19]",$$$$,AmericanSteakhouseGluten Free Options,98121,Belltown
58,58,Cafe Campagne,4.5,1016,"1600 Post Aly, Seattle, WA 98101-1567","#36 of 2,182 Restaurants in Seattle","[513, 323, 105, 35, 13]",$$ - $$$,FrenchCafeVegetarian Friendly,98101,Downtown
60,60,Top Pot Doughnuts,4.5,927,"2124 5th Ave, Seattle, WA 98121-2511",#3 of 225 Coffee & Tea in Seattle,"[510, 218, 121, 23, 10]",$,BakeriesAmericanCafe,98121,Belltown
61,61,Duke's Seafood South Lake Union,4.5,978,"1111 Fairview Ave N, Seattle, WA 98109","#37 of 2,182 Restaurants in Seattle","[498, 287, 106, 29, 14]",$$ - $$$,AmericanBarSeafood,98109,Queen Anne/South Lake Union
62,62,Barolo Ristorante,4.5,533,"1940 Westlake Ave, Seattle, WA 98101-1218","#38 of 2,182 Restaurants in Seattle","[262, 169, 40, 14, 13]",$$ - $$$,ItalianWine BarVegetarian Friendly,98101,Downtown
64,64,Le Pichet,4.5,603,"1933 1st Ave, Seattle, WA 98101-1010","#39 of 2,182 Restaurants in Seattle","[337, 168, 55, 14, 16]",$$ - $$$,FrenchEuropeanVegetarian Friendly,98101,Downtown
65,65,Japonessa Sushi Cocina,4.5,860,"1400 1st Ave, Seattle, WA 98101-2004","#40 of 2,182 Restaurants in Seattle","[451, 238, 57, 35, 19]",$$ - $$$,JapaneseSeafoodSushi,98101,Downtown
66,66,Il Terrazzo Carmine,4.5,362,"411 1st Ave S, Seattle, WA 98104-2860","#41 of 2,182 Restaurants in Seattle","[233, 78, 28, 11, 6]",$$$$,ItalianTuscanCentral-Italian,98104,Chinatown
67,67,Matt's in the Market,4.5,904,"94 Pike St Ste 32, Seattle, WA 98101-2066","#42 of 2,182 Restaurants in Seattle","[519, 225, 86, 31, 22]",$$$$,AmericanSeafoodInternational,98101,Downtown
68,68,Moore Coffee Shop,4.5,238,"1930 2nd Ave, Seattle, WA 98101-1102",#4 of 225 Coffee & Tea in Seattle,"[146, 53, 13, 4, 2]",$,Quick BitesCafeVegetarian Friendly,98101,Downtown
69,69,Pike Place Chowder,4.5,410,"600 Pine St Ste 404, Seattle, WA 98101-3700",#18 of 302 Quick Bites in Seattle,"[191, 115, 37, 16, 3]",$,Quick BitesAmericanSeafood,98101,Downtown
70,70,Gelatiamo,4.5,232,"1400 3rd Ave, Seattle, WA 98101-2106",#10 of 112 Desserts in Seattle,"[155, 54, 7, 0, 2]",$,Dessert,98101,Downtown
71,71,Biscuit Bitch,4.5,1113,"1909 1st Ave Caffe Lieto, Seattle, WA 98101-1010",#19 of 302 Quick Bites in Seattle,"[626, 313, 97, 24, 20]",$,Quick BitesAmericanCafe,98101,Downtown
72,72,Oliver's Lounge,4.5,305,"405 Olive Way Mayflower Park Hotel, Seattle, WA 98101-1108","#43 of 2,182 Restaurants in Seattle","[180, 82, 22, 6, 4]",$$ - $$$,AmericanBar,98101,Downtown
73,73,AQUA by El Gaucho,4.5,772,"2801 Alaskan Way Pier 70, Seattle, WA 98121-1134","#44 of 2,182 Restaurants in Seattle","[448, 141, 68, 41, 29]",$$$$,AmericanSeafoodContemporary,98121,Belltown
74,74,Wild Ginger,4.5,2358,"1401 3rd Ave, Seattle, WA 98101","#45 of 2,182 Restaurants in Seattle","[1225, 693, 259, 92, 33]",$$ - $$$,AsianThaiVegetarian Friendly,98101,Downtown
75,75,Rays,4.5,1242,"6049 Seaview Ave NW, Seattle, WA 98107-2658","#46 of 2,182 Restaurants in Seattle","[621, 389, 137, 47, 19]",$$ - $$$,AmericanSeafoodVegetarian Friendly,98107,Ballard
76,76,Zeeks Pizza,4.5,656,"419 Denny Way, Seattle, WA 98109","#47 of 2,182 Restaurants in Seattle","[322, 202, 62, 20, 12]",$$ - $$$,ItalianPizzaVegetarian Friendly,98109,Queen Anne/South Lake Union
77,77,Salty's on Alki Beach,4.5,1434,"1936 Harbor Ave SW, Seattle, WA 98126-2031","#48 of 2,182 Restaurants in Seattle","[750, 348, 170, 74, 30]",$$$$,AmericanSeafoodVegetarian Friendly,98126,Other
78,78,Ivar's Fish Bar,4.0,553,"1001 Alaskan Way Ste. 101, Seattle, WA 98104",#20 of 302 Quick Bites in Seattle,"[244, 186, 63, 13, 11]",$$ - $$$,Quick BitesAmericanSeafood,98104,Chinatown
79,79,Palace Kitchen,4.5,590,"2030 5th Ave, Seattle, WA 98121-2505","#49 of 2,182 Restaurants in Seattle","[276, 203, 54, 23, 9]",$$ - $$$,AmericanContemporaryVegetarian Friendly,98121,Belltown
80,80,Purple Cafe and Wine Bar,4.5,1819,"1225 4th Ave, Seattle, WA 98101-3005","#50 of 2,182 Restaurants in Seattle","[881, 611, 177, 61, 22]",$$ - $$$,AmericanContemporaryWine Bar,98101,Downtown
81,81,Yard House,4.0,476,"1501 4th Avenue, Seattle, WA 98101-3225","#51 of 2,182 Restaurants in Seattle","[184, 196, 54, 12, 4]",$$ - $$$,AmericanBarPub,98101,Downtown
83,83,The George,4.5,373,"411 University St, Seattle, WA 98101","#52 of 2,182 Restaurants in Seattle","[239, 68, 40, 9, 5]",$$$$,AmericanVegetarian FriendlyVegan Options,98101,Downtown
84,84,Cactus Restaurant,4.5,280,"2820 Alki Ave SW, Seattle, WA 98116-2788","#53 of 2,182 Restaurants in Seattle","[158, 96, 12, 5, 5]",$$ - $$$,MexicanSouthwesternLatin,98116,Other
85,85,Taylor Shellfish Oyster Bar,4.5,368,"124 Republican St, Seattle, WA 98109-4534","#54 of 2,182 Restaurants in Seattle","[194, 97, 39, 12, 7]",$$ - $$$,AmericanSeafoodGluten Free Options,98109,Queen Anne/South Lake Union
86,86,Alibi Room,4.5,241,"85 Pike St Ste 410 Ste 410, Seattle, WA 98101-2001","#55 of 2,182 Restaurants in Seattle","[124, 84, 21, 3, 4]",$$ - $$$,AmericanBarPizza,98101,Downtown
87,87,Sushi Kashiba,4.5,252,"86 Pine St Suite #1, Seattle, WA 98101-1531","#56 of 2,182 Restaurants in Seattle","[171, 33, 15, 11, 6]",$$$$,JapaneseSeafoodSushi,98101,Downtown
89,89,Anthony's Pier 66 & Bell Street Diner,4.0,1490,"2201 Alaskan Way, Seattle, WA 98121-1604","#58 of 2,182 Restaurants in Seattle","[647, 503, 168, 75, 30]",$$ - $$$,AmericanSeafoodVegetarian Friendly,98121,Belltown
90,90,Cafe Flora,4.5,384,"2901 E Madison St, Seattle, WA 98112-4213","#59 of 2,182 Restaurants in Seattle","[212, 101, 37, 16, 9]",$$ - $$$,AmericanCafeHealthy,98112,Capitol Hill
91,91,Stateside,4.5,232,"300 E Pike St, Seattle, WA 98122-3694","#60 of 2,182 Restaurants in Seattle","[138, 63, 16, 3, 4]",$$ - $$$,InternationalAsianFusion,98122,Capitol Hill
92,92,Marination Ma Kai,4.5,251,"1660 Harbor Ave SW, Seattle, WA 98126-2028",#21 of 302 Quick Bites in Seattle,"[129, 87, 21, 5, 0]",$,Quick BitesBarPolynesian,98126,Other
