,Name,Yelp Rating,Yelp Num Reviews,Yelp Address,Yelp Cost,Yelp Tags,Zip Code,Neighborhood
0,The Pink Door,4.4,7010.0,"1919 Post Alley Seattle, WA 98101",$$,"['Italian', 'Wine Bars', 'Seafood']",98101,Downtown
1,Nue,4.2,1462.0,"1519 14th Ave Seattle, WA 98122",$$,"['Tapas/Small Plates', 'Cocktail Bars', 'Breakfast & Brunch']",98122,Capitol Hill
2,Biscuit Bitch,4.2,4731.0,"1909 1st Ave Seattle, WA 98101",$$,"['Breakfast & Brunch', 'Coffee & Tea', 'Southern']",98101,Downtown
3,2120,4.3,629.0,"2120 6th Ave Seattle, WA 98121",$$$,"['New American', 'Cocktail Bars']",98121,Belltown
4,Witness,4.2,915.0,"410 Broadway E Seattle, WA 98102",$$,"['Southern', 'Cocktail Bars']",98102,Capitol Hill
5,The Walrus and the Carpenter,4.2,1887.0,"4743 Ballard Ave NW Seattle, WA 98107",$$$,"['Seafood', 'Tapas/Small Plates']",98107,Ballard
6,Six Seven Restaurant,4.1,1258.0,"2411 Alaskan Way Seattle, WA 98121",$$$,"['New American', 'Seafood', 'Cocktail Bars']",98121,Belltown
7,List,4.3,2102.0,"2226 1st Ave Seattle, WA 98121",$$,"['Tapas/Small Plates', 'Cocktail Bars', 'American']",98121,Belltown
8,Tilikum Place Cafe,4.3,2272.0,"407 Cedar St Seattle, WA 98121",$$,"['New American', 'Breakfast & Brunch', 'Desserts']",98121,Belltown
9,Elliott’s Oyster House,3.9,4357.0,"1201 Alaskan Way Pier 56 Seattle, WA 98101",$$$,['Seafood'],98101,Downtown
10,Toulouse Petit Kitchen & Lounge,4,5027.0,"601 Queen Anne Ave N Seattle, WA 98109",$$,"['Cajun/Creole', 'Breakfast & Brunch', 'Seafood']",98109,Queen Anne/South Lake Union
11,Shaker + Spear,4.4,1071.0,"2000 2nd Ave Seattle, WA 98121",$$,"['Seafood', 'New American', 'Breakfast & Brunch']",98121,Belltown
13,The White Swan Public House,3.9,414.0,"1001 Fairview Ave N Seattle, WA 98109",$$,"['Bars', 'Seafood']",98109,Queen Anne/South Lake Union
14,Pike Place Chowder,4.4,9065.0,"1530 Post Aly Ste 11 Seattle, WA 98101",$$,"['Seafood', 'Soup']",98101,Downtown
15,Damn the Weather,3.8,563.0,"116 1st Ave S Seattle, WA 98104",$$,"['Cocktail Bars', 'New American']",98104,Chinatown
16,Ishoni Yakiniku,4.5,269.0,"611 Broadway E Seattle, WA 98102",,"['Barbeque', 'Japanese']",98102,Capitol Hill
17,Katsu-ya Seattle,4.4,286.0,"122 Westlake Ave N Seattle, WA 98109",$$,"['Sushi Bars', 'Japanese', 'Seafood']",98109,Queen Anne/South Lake Union
18,Biang Biang Noodles,4.3,1209.0,"601 E Pike St Unit 100 Seattle, WA 98122",$$,"['Noodles', 'Szechuan']",98122,Capitol Hill
19,Kedai Makan,4.2,1339.0,"1449 E Pine St Seattle, WA 98122",$$,"['Malaysian', 'Noodles', 'Bars']",98122,Capitol Hill
20,Cascina Spinasse,4.4,1366.0,"1531 14th Ave Seattle, WA 98122",$$$,['Italian'],98122,Capitol Hill
