index,Restaurant,URL,Rating,Number_of_reviews,Address,Marquee,Distribution,DollarSigns,RestaurantType
0,Bakery Nouveau,https://www.tripadvisor.com/Restaurant_Review-g60878-d788105-Reviews-Bakery_Nouveau-Seattle_Washington.html,5,1265,"4737 California Ave SW, Seattle, WA 98116-4412",#1 of 88 Bakeries in Seattle,"[1044, 154, 27, 9, 8]",$$ - $$$,BakeriesFrenchCafe
1,Ghost Alley Espresso,https://www.tripadvisor.com/Restaurant_Review-g60878-d5029986-Reviews-Ghost_Alley_Espresso-Seattle_Washington.html,5,179,"1499 Post Alley Pike Place Market, Seattle, WA 98101-2031",#1 of 225 Coffee & Tea in Seattle,"[142, 26, 5, 1, 0]",$,Quick BitesCafe
2,The Pink Door,https://www.tripadvisor.com/Restaurant_Review-g60878-d463486-Reviews-The_Pink_Door-Seattle_Washington.html,4.5,2931,"1919 Post Aly, Seattle, WA 98101-1014","#1 of 2,182 Restaurants in Seattle","[1907, 680, 162, 43, 37]",$$ - $$$,ItalianContemporaryTuscan
3,Le Panier,https://www.tripadvisor.com/Restaurant_Review-g60878-d432598-Reviews-Le_Panier-Seattle_Washington.html,4.5,1719,"1902 Pike Pl, Seattle, WA 98101-1013",#2 of 88 Bakeries in Seattle,"[1136, 379, 65, 15, 5]",$$ - $$$,BakeriesFrenchCafe
4,Chan Seattle,https://www.tripadvisor.com/Restaurant_Review-g60878-d3226980-Reviews-Chan_Seattle-Seattle_Washington.html,4.5,314,"86 Pine St In the Paramount Hotel, Seattle, WA 98101-1531","#2 of 2,182 Restaurants in Seattle","[221, 55, 9, 3, 0]",$$ - $$$,BarAsianKorean
5,Fran's Chocolates,https://www.tripadvisor.com/Restaurant_Review-g60878-d2702717-Reviews-Fran_s_Chocolates-Seattle_Washington.html,4.5,370,"1325 1st Ave Downtown Seattle, Seattle, WA 98101-2002",#3 of 112 Desserts in Seattle,"[251, 54, 12, 6, 3]",$$ - $$$,DessertFrench
6,Mora Iced Creamery,https://www.tripadvisor.com/Restaurant_Review-g58342-d910740-Reviews-Mora_Iced_Creamery-Bainbridge_Island_Washington.html,4.5,604,"139 Madrone Ln N, Bainbridge Island, WA 98110-1862",#1 of 5 Desserts in Bainbridge Island,"[443, 114, 24, 7, 2]",$$ - $$$,DessertAmericanGluten Free Options
7,Dahlia Bakery,https://www.tripadvisor.com/Restaurant_Review-g60878-d2256568-Reviews-Dahlia_Bakery-Seattle_Washington.html,4.5,788,"2001 4th Ave, Seattle, WA 98121-2414",#3 of 88 Bakeries in Seattle,"[570, 155, 31, 11, 2]",$$ - $$$,BakeriesAmericanVegetarian Friendly
8,Tat's Deli,https://www.tripadvisor.com/Restaurant_Review-g60878-d838260-Reviews-Tat_s_Deli-Seattle_Washington.html,4.5,301,"159 Yesler Way, Seattle, WA 98104-2539",#5 of 302 Quick Bites in Seattle,"[208, 72, 11, 3, 0]",$,Quick BitesAmericanFast Food
9,Storyville Coffee Pike Place,https://www.tripadvisor.com/Restaurant_Review-g60878-d4439485-Reviews-Storyville_Coffee_Pike_Place-Seattle_Washington.html,4.5,373,"94 Pike St #34, Seattle, WA 98101-2066",#2 of 225 Coffee & Tea in Seattle,"[270, 68, 12, 4, 4]",$,Quick BitesCafe
10,Tilikum Place Cafe,https://www.tripadvisor.com/Restaurant_Review-g60878-d1516303-Reviews-Tilikum_Place_Cafe-Seattle_Washington.html,4.5,762,"407 Cedar St, Seattle, WA 98121-1519","#3 of 2,182 Restaurants in Seattle","[487, 174, 40, 10, 3]",$$ - $$$,AmericanEuropeanVegetarian Friendly
11,The Capital Grille,https://www.tripadvisor.com/Restaurant_Review-g60878-d1074759-Reviews-The_Capital_Grille-Seattle_Washington.html,4.5,646,"1301 4th Ave, Seattle, WA 98101","#4 of 2,182 Restaurants in Seattle","[406, 144, 40, 14, 11]",$$$$,AmericanSteakhouseVegetarian Friendly
